name,handedness,count,attribute,value
Larry Herndon,R,737,height,75.0
Jim Wright,R,737,height,77.0
Jim Wright,R,737,height,73.0
Eddie Leon,R,737,height,72.0
Jim Wohlford,R,737,height,71.0
J.R. Richard,R,737,height,80.0
Keith Moreland,R,737,height,72.0
Ramon Pena,R,737,height,70.0
Alex Johnson,R,737,height,72.0
Chico Escarrega,R,737,height,71.0
Dave Rosello,R,737,height,71.0
Cardell Camper,R,737,height,75.0
Paul Schaal,R,737,height,71.0
Tito Landrum,R,737,height,71.0
Dave Edwards,R,737,height,72.0
Mario Guerrero,R,737,height,70.0
Mike Overy,R,737,height,74.0
Doug Griffin,R,737,height,72.0
Steve Blass,R,737,height,72.0
Johnnie LeMaster,R,737,height,74.0
Craig Chamberlain,R,737,height,73.0
Nate Oliver,R,737,height,70.0
Ken Rudolph,R,737,height,73.0
Wayne Nordhagen,R,737,height,74.0
Frank Eufemia,R,737,height,71.0
Andre Robertson,R,737,height,70.0
Jerry Zimmerman,R,737,height,74.0
Jack Lazorko,R,737,height,71.0
Mike Paxton,R,737,height,71.0
Chet Lemon,R,737,height,72.0
Rickey Keeton,R,737,height,74.0
Cleon Jones,R,737,height,72.0
Curt Motton,R,737,height,68.0
Johnny Bench,R,737,height,73.0
Dale Berra,R,737,height,72.0
Terry Felton,R,737,height,73.0
Mark Clear,R,737,height,76.0
Carl Warwick,R,737,height,70.0
Sam Bowens,R,737,height,73.0
Luis Aguayo,R,737,height,69.0
Hal Lanier,R,737,height,74.0
Greg Pryor,R,737,height,72.0
Dave Nelson,R,737,height,70.0
Lynn Jones,R,737,height,69.0
Ken Suarez,R,737,height,69.0
Rich Barnes,R,737,height,76.0
Tommie Agee,R,737,height,71.0
Bob Bailey,R,737,height,73.0
Cap Peterson,R,737,height,74.0
Dick Tracewski,R,737,height,71.0
Dave Frost,R,737,height,78.0
Bill Nahorodny,R,737,height,74.0
Bill Madlock,R,737,height,71.0
Bob Boone,R,737,height,74.0
Rick Burleson,R,737,height,70.0
Jim Dorsey,R,737,height,79.0
Mark Ciardi,R,737,height,72.0
Dennis Burtt,R,737,height,72.0
Carl Taylor,R,737,height,74.0
Terry Harmon,R,737,height,74.0
Rich Yett,R,737,height,74.0
Don Leppert,R,737,height,74.0
Matt Williams,R,737,height,73.0
Jim Burton,R,737,height,75.0
Rick Anderson,R,737,height,74.0
Charlie Mitchell,R,737,height,75.0
Bill Paschall,R,737,height,72.0
Byron McLaughlin,R,737,height,73.0
Lee May,R,737,height,75.0
Rick Renick,R,737,height,72.0
Jeff Torborg,R,737,height,72.0
Dave Campbell,R,737,height,73.0
Rick Auerbach,R,737,height,72.0
Keith Macwhorter,R,737,height,76.0
Don Wilson,R,737,height,74.0
Jaime Cocanower,R,737,height,76.0
Jeff Sellers,R,737,height,73.0
Steve Senteney,R,737,height,74.0
Howard Bailey,R,737,height,72.0
Jeff Bettendorf,R,737,height,75.0
Cesar Cedeno,R,737,height,74.0
Bob Davidson,R,737,height,72.0
Phil Linz,R,737,height,73.0
Manny Mota,R,737,height,70.0
Steve Renko,R,737,height,77.0
Carlos Velazquez,R,737,height,71.0
Roger Miller,R,737,height,75.0
Doug DeCinces,R,737,height,74.0
John Castino,R,737,height,71.0
Ron Washington,R,737,height,71.0
Billy Grabarkewitz,R,737,height,70.0
Earl Williams,R,737,height,75.0
