name,handedness,height,weight,batting avg,homeruns,count
Cap Peterson,R,74,195,0.23,19,737
Dick Tracewski,R,71,160,0.213,8,737
Dave Frost,R,78,235,0.0,0,737
Bill Nahorodny,R,74,200,0.241,25,737
Bill Madlock,R,71,180,0.305,163,737
Bob Boone,R,74,195,0.254,105,737
Rick Burleson,R,70,165,0.273,50,737
Jim Dorsey,R,79,190,0.0,0,737
Mark Ciardi,R,72,180,0.0,0,737
Dennis Burtt,R,72,180,0.0,0,737
Carl Taylor,R,74,200,0.266,10,737
Terry Harmon,R,74,180,0.233,4,737
Rich Yett,R,74,187,0.0,0,737
Don Leppert,R,74,220,0.229,15,737
Matt Williams,R,73,200,0.0,0,737
Jim Burton,R,75,195,0.0,0,737
Rick Anderson,R,74,210,0.0,0,737
Charlie Mitchell,R,75,170,0.0,0,737
Bill Paschall,R,72,175,0.0,0,737
Byron McLaughlin,R,73,175,0.0,0,737
Lee May,R,75,195,0.267,354,737
Rick Renick,R,72,188,0.221,20,737
Jeff Torborg,R,72,195,0.214,8,737
Dave Campbell,R,73,180,0.213,20,737
Rick Auerbach,R,72,165,0.22,9,737
Keith Macwhorter,R,76,190,0.0,0,737
Don Wilson,R,74,195,0.146,1,737
Jaime Cocanower,R,76,200,0.0,0,737
Jeff Sellers,R,73,175,0.0,0,737
Steve Senteney,R,74,205,0.0,0,737
Howard Bailey,R,72,195,0.0,0,737
Jeff Bettendorf,R,75,180,0.0,0,737
Cesar Cedeno,R,74,175,0.285,199,737
Bob Davidson,R,72,185,0.0,0,737
Phil Linz,R,73,180,0.235,11,737
Manny Mota,R,70,160,0.304,31,737
Steve Renko,R,77,230,0.215,6,737
Carlos Velazquez,R,71,180,0.0,0,737
Roger Miller,R,75,200,0.0,0,737
Doug DeCinces,R,74,190,0.259,237,737
John Castino,R,71,175,0.278,41,737
Ron Washington,R,71,155,0.261,20,737
Billy Grabarkewitz,R,70,165,0.236,28,737
Earl Williams,R,75,215,0.247,138,737
Willie Mueller,R,76,220,0.0,0,737
John Flinn,R,72,175,0.0,0,737
Don Hahn,R,73,180,0.236,7,737
Todd Cruz,R,72,175,0.22,34,737
Tom Egan,R,76,218,0.2,22,737
Bob Heise,R,72,175,0.247,1,737
Tommy Harper,R,69,165,0.257,146,737
Max Alvis,R,71,185,0.247,111,737
Rico Carty,R,75,200,0.299,204,737
Les Straker,R,73,193,0.0,0,737
Damaso Garcia,R,73,165,0.28300000000000003,36,737
Don Kainer,R,75,205,0.0,0,737
Don Gordon,R,73,175,0.0,0,737
Sandy Wihtol,R,73,195,0.0,0,737
Sonny Siebert,R,75,190,0.173,12,737
Jeff Richardson,R,75,185,0.0,0,737
Bobby Darwin,R,74,190,0.251,83,737
Bruce Miller,R,73,185,0.246,1,737
Bob Bailor,R,71,170,0.264,9,737
Tommy Helms,R,70,165,0.269,34,737
Tony Armas,R,71,182,0.252,251,737
Willie Horton,R,71,209,0.273,325,737
Lou Piniella,R,72,182,0.29100000000000004,102,737
Butch Hobson,R,73,193,0.248,98,737
John Wathan,R,74,205,0.262,21,737
Mike Krukow,R,77,205,0.193,5,737
Andres Mora,R,72,180,0.223,27,737
Barry Foote,R,75,205,0.23,57,737
Ron Clark,R,70,175,0.189,5,737
Jay Pettibone,R,76,182,0.0,0,737
Glen Cook,R,71,180,0.0,0,737
Julio Gotay,R,72,180,0.26,6,737
Gary Alexander,R,74,195,0.23,55,737
Andre Thornton,R,75,200,0.254,253,737
Bob Oliver,R,75,205,0.256,94,737
Bill Castro,R,71,170,0.0,0,737
Tom Buskey,R,75,200,0.0,0,737
Bruce Taylor,R,72,178,0.0,0,737
Stan Thomas,R,74,185,0.0,0,737
Bob Robertson,R,73,195,0.242,115,737
Larry Monroe,R,76,200,0.0,0,737
Roger Slagle,R,75,190,0.0,0,737
Ollie Brown,R,74,178,0.265,102,737
Frank Quilici,R,73,170,0.214,5,737
Curt Kaufman,R,74,175,0.0,0,737
De Wayne Vaughn,R,71,180,0.0,0,737
Rich Wortham,R,72,185,0.0,0,737
Bill Sample,R,69,175,0.272,46,737
Mike Bacsik,R,74,180,0.0,0,737
Craig Kusick,R,75,210,0.235,46,737
Glenn Hoffman,R,73,175,0.242,23,737
Russ Gibson,R,73,195,0.228,8,737
Phil Huffman,R,74,180,0.0,0,737
John Bateman,R,75,210,0.23,81,737
Luis Pujols,R,74,175,0.193,6,737
Joe Gaines,R,73,190,0.241,21,737
Doug Rader,R,74,208,0.251,155,737
Mickey Stanley,R,73,185,0.248,117,737
Steve Brown,R,77,200,0.0,0,737
Rick Lysander,R,74,190,0.0,0,737
Phil Bradley,R,72,185,0.28600000000000003,78,737
Winston Llenas,R,70,165,0.23,3,737
Charlie Moore,R,71,180,0.261,36,737
Tommy John,R,75,180,0.157,5,737
Bruce Benedict,R,73,175,0.242,18,737
John Ellis,R,74,225,0.262,69,737
Mel Stottlemyre,R,72,190,0.0,0,737
David Green,R,75,170,0.268,31,737
Reid Nichols,R,71,165,0.266,22,737
Rick Reichardt,R,75,210,0.261,116,737
Luis Tiant,R,72,180,0.16399999999999998,5,737
Alex Sanchez,R,74,185,0.0,0,737
Leon Roberts,R,75,200,0.267,78,737
